"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON"
"87",7,"Jordan Addison",MIN,"WR39","6","2 out of 5 stars"
"88",7,"Justin Fields",NYJ,"QB10","9","5 out of 5 stars"
"89",7,"David Njoku",CLE,"TE9","9","3 out of 5 stars"
"90",7,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars"
"91",7,"Brock Purdy",SF,"QB12","14","4 out of 5 stars"
"92",7,"Jauan Jennings",SF,"WR40","14","4 out of 5 stars"
"93",7,"Jayden Reed",GB,"WR41","5","2 out of 5 stars"
"94",7,"Ricky Pearsall",SF,"WR42","14","4 out of 5 stars"
"95",7,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars"
"96",7,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars"
"97",7,"Deebo Samuel Sr.",WAS,"WR43","12","3 out of 5 stars"
"98",7,"Khalil Shakir",BUF,"WR44","7","3 out of 5 stars"
"99",7,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars"
"100",7,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars"
"101",7,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars"
"102",7,"Josh Downs",IND,"WR45","11","4 out of 5 stars"
"103",7,"Javonte Williams",DAL,"RB34","10","2 out of 5 stars"
"104",7,"Jared Goff",DET,"QB15","8","2 out of 5 stars"
"105",7,"Drake Maye",NE,"QB16","14","5 out of 5 stars"
"106",7,"Rhamondre Stevenson",NE,"RB35","14","4 out of 5 stars"
"107",7,"Jordan Love",GB,"QB17","5","2 out of 5 stars"
"108",7,"Zach Charbonnet",SEA,"RB36","8","3 out of 5 stars"
"109",7,"Michael Pittman Jr.",IND,"WR46","11","4 out of 5 stars"
"110",7,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars"
"111",7,"Tyjae Spears",TEN,"RB37","10","2 out of 5 stars"
"112",7,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars"
"113",7,"Najee Harris",LAC,"RB39","12","2 out of 5 stars"
"114",7,"J.K. Dobbins",DEN,"RB40","12","2 out of 5 stars"
"115",7,"Emeka Egbuka",TB,"WR48","9","3 out of 5 stars"
"116",7,"Cam Skattebo",NYG,"RB41","14","3 out of 5 stars"
"117",8,"Jake Ferguson",DAL,"TE11","10","2 out of 5 stars"
"118",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars"
"119",8,"Dalton Kincaid",BUF,"TE12","7","3 out of 5 stars"
"120",8,"Tyler Warren",IND,"TE13","11","3 out of 5 stars"
"121",8,"Rachaad White",TB,"RB42","9","3 out of 5 stars"
"122",8,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars"
"123",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars"
"124",8,"Brandon Aiyuk",SF,"WR50","14","4 out of 5 stars"
"125",8,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars"
"126",8,"Quinshon Judkins",CLE,"RB43","9","4 out of 5 stars"
"127",8,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars"
"128",8,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars"
"129",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars"
"130",8,"Austin Ekeler",WAS,"RB44","12","2 out of 5 stars"
"131",8,"Christian Kirk",HOU,"WR53","6","4 out of 5 stars"
"132",8,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars"
"133",8,"Matthew Golden",GB,"WR54","5","2 out of 5 stars"
"134",8,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars"
"135",8,"Jerome Ford",CLE,"RB45","9","4 out of 5 stars"
"136",8,"Ray Davis",BUF,"RB46","7","4 out of 5 stars"
"137",8,"Kyle Pitts Sr.",ATL,"TE16","5","3 out of 5 stars"
"138",8,"Tyler Allgeier",ATL,"RB47","5","4 out of 5 stars"
"139",8,"Rashod Bateman",BAL,"WR55","7","3 out of 5 stars"
"140",8,"Luther Burden III",CHI,"WR56","5","2 out of 5 stars"
"141",8,"Jaydon Blue",DAL,"RB48","10","2 out of 5 stars"
"142",8,"Hunter Henry",NE,"TE17","14","3 out of 5 stars"
"143",8,"Trey Benson",ARI,"RB49","8","3 out of 5 stars"
"144",8,"Matthew Stafford",LAR,"QB22","8","3 out of 5 stars"
"145",8,"Cedric Tillman",CLE,"WR57","9","2 out of 5 stars"
"146",8,"Jonnu Smith",PIT,"TE18","5","3 out of 5 stars"
"147",8,"Bryce Young",CAR,"QB23","14","3 out of 5 stars"
"148",8,"Isaac Guerendo",SF,"RB50","14","3 out of 5 stars"
